"CellId","AltFreq","AltPos","PairId","MinMax_Median","MinMax_Mode1","MinMax_Mode2","MinMax_ModeDen1","MinMax_ModeDen2","MinMax_Dec1Prob","MinMax_Dec2Prob","MinMax_Dec3Prob","MinMax_Dec4Prob","MinMax_Dec5Prob","MinMax_Dec6Prob","MinMax_Dec7Prob","MinMax_Dec8Prob","MinMax_Dec9Prob","MinMax_Dec10Prob","LS75_Median","LS125_Median","LS200_Median","LS300_Median","LS500_Median","Alpha_bar_median","Alpha_bar_Mode1","Alpha_bar_Mode2","Alpha_bar_ModeDen1","Alpha_bar_ModeDen2","Alpha_bar_Dec1Prob","Alpha_bar_Dec2Prob","Alpha_bar_Dec3Prob","Alpha_bar_Dec4Prob","Alpha_bar_Dec5Prob","Alpha_bar_Dec6Prob","Alpha_bar_Dec7Prob","Alpha_bar_Dec8Prob","Alpha_bar_Dec9Prob","Alpha_bar_Dec10Prob","Switch_0.2Mean","Switch_0.4Mean","Switch_0.6Mean"
"YKIC092311_1Loc_DoubleSound",903,-24,NA,0.19861164848912,0.120784145288032,0.711319613494548,2.38908912909468,0.193589421947837,0.26,0.25,0.16,0.15,0.1,0.03,0.02,0.02,0.01,0,0.00447505264782304,0.00546079074592225,0.0706848164654431,0.265982660437187,0.19922640909106,0.72444998845562,0.636188660718517,0.878542329139022,3.83315434626728,2.8856234644088,0,0,0,0,0.0148809523809524,0.0773809523809524,0.389880952380952,0.157738095238095,0.25,0.110119047619048,0.58,0.2,0.06
"YKIC140501Loc_DoubleSound",500,6,1,0.0651653643184093,0.0384491944905225,0.480426274242531,4.01384136237221,0.541937623841228,0.58,0.11,0.14,0.01,0.06,0.05,0,0.03,0,0.02,0.00348711505826336,0.0132701229372893,0.0411037709895691,0.155646614347651,0.139258135917038,0.0801149802858903,0.0473745240225167,0.867843223692958,2.33828472643016,0.870957528720581,0.545454545454545,0.0545454545454545,0.0363636363636364,0,0,0.025,0.102272727272727,0.0340909090909091,0.0977272727272727,0.104545454545455,0.47,0.22,0.06
"YKIC100111_1Loc_DoubleSound",903,-24,NA,0.114244900402234,0.0363746155184363,0.649806236071005,2.60055898865191,0.498977268280668,0.49,0.14,0.1,0.09,0.03,0.03,0.08,0.02,0.02,0,0.0100821075340846,0.00510720345570734,0.0334383699683752,0.163245948715431,0.27548886278255,0.841087585191267,0.959405823790204,0.645935711685243,2.39730454797831,0.897982379364609,0,0.0486111111111111,0.121527777777778,0.0451388888888889,0.0243055555555556,0.0902777777777778,0.107638888888889,0.0625,0,0.5,0.5,0.22,0.12
"YKIC140321Loc_DoubleSound",500,24,2,0.0877136956135753,0.0504693851003941,0.704401960902175,5.27855767814528,0.400688028247956,0.57,0.23,0.06,0.05,0.03,0.01,0.02,0.02,0.01,0,0.0286449459686443,0.253781943761088,0.0368426870549004,0.0339940597654035,0.042331279945219,0.0528838342545811,0.0476689392059609,0.751860688294117,3.20090047202654,0.794029121300852,0.666666666666667,0,0,0,0.0666666666666667,0,0.0533333333333333,0.095,0.0533333333333333,0.065,0.42,0.18,0.06
"YKIC140501Loc_DoubleSound",1632,-24,2,0.320631110296843,0.0346860028906238,0.396728352372014,1.5103300020998,1.27431610103722,0.33,0.06,0.09,0.15,0.12,0.09,0.08,0.04,0.02,0.02,0.0487841800424195,0.0545278542789176,0.181551339330157,0.0149535647949768,0.0194559795891001,0.579280683517947,0.636699964868792,0.0136789327741925,2.18580459648036,1.23797479856634,0.25,0,0,0.00625,0.090625,0.209375,0.215625,0.1875,0.040625,0,1.23,0.58,0.25
"PSIC111710Loc_DoubleSound",1100,-24,NA,0.222509534603722,0.121008777384401,0.730965763692794,2.30448539916747,0.242666194596013,0.24,0.23,0.19,0.13,0.12,0.03,0.02,0.02,0.01,0.01,0.00785347262264631,0.0568989645805851,0.0740010787906189,0.395874022157184,0.022621279965336,0.317901302982085,0.215415923163736,0.772043837381832,2.54473005850557,1.26187960718078,0,0.208333333333333,0.245098039215686,0.129901960784314,0.0980392156862745,0.0661764705882353,0.0220588235294118,0.159313725490196,0.071078431372549,0,0.73,0.26,0.08
"YKIC110911Loc_DoubleSound",609,-24,NA,0.049744598486233,0.0274817273003479,0.32582845941275,7.12485341710738,0.436935596852355,0.7,0.15,0.05,0.03,0.04,0.01,0.01,0.01,0,0,0.0222918134502846,0.215849291301642,0.011501274545435,0.0312409750462198,0.0443579396507072,0.949667742406288,0.952640188400983,0.318116149388474,22.9934183733054,1.71915548031433,0,0.0492424242424242,0.0378787878787879,0.0946969696969697,0,0,0,0,0,0.818181818181818,0.24,0.09,0.03
"YKIC140507Loc_DoubleSound",1632,-6,2,0.318813382074233,0.272822848574437,NA,1.30457129944847,NA,0.23,0.09,0.14,0.14,0.09,0.08,0.11,0.07,0.04,0.01,0.00416275435999744,0.0221466850570866,0.00733650819146791,0.320582292287077,0.056310883610663,0.450698152778428,0.630241837397995,0.0989809443896714,1.58311387676887,1.40032329650083,0.146153846153846,0.105769230769231,0.134615384615385,0.0730769230769231,0.0711538461538462,0.1,0.215384615384615,0.0673076923076923,0.0865384615384615,0,1.12,0.55,0.26
"YKIC110311Loc_DoubleSound",903,6,NA,0.116832851716257,0.0437396369337894,0.523097578003096,3.96041788734681,0.46214060928707,0.45,0.34,0.08,0.07,0.01,0.05,0,0,0,0,0.0422594961704087,0.113011416096166,0.0542381062624621,0.111871722733828,0.0495649619723205,0.44349882814796,0.906946675773432,0.345828569553302,1.90953198668323,1.56972537101287,0.142857142857143,0,0.0773809523809524,0.220238095238095,0.0818452380952381,0.0133928571428571,0,0.025297619047619,0.117559523809524,0.321428571428571,0.24,0.06,0
"YKIC110911Loc_DoubleSound",903,-24,NA,0.0609603457817958,0.0343088805976701,0.480896204276704,5.50832754441946,0.314104078423619,0.62,0.16,0.06,0.03,0.04,0.02,0.04,0,0.03,0,0.0302258227857252,0.0109741859208339,0.0184950624800811,0.154518695290589,0.101600239659068,0.944588742895077,0.950289642114781,0.80236436357201,9.47585536508804,1.56780398868857,0.0520833333333333,0.0729166666666667,0,0,0,0,0,0.0520833333333333,0.130208333333333,0.692708333333333,0.28,0.15,0.08
"YKIC141016Loc_DoubleSound",500,24,1,0.156319606680443,0.12185461529332,0.691467152350585,3.58056661386681,0.157432191546318,0.25,0.33,0.19,0.11,0.08,0.01,0.01,0.01,0,0.01,0.00927296440169216,0.0123925201045153,0.0170351029337241,0.0296435644769612,0.62435881594017,0.848057499602873,0.848643930989929,0.732516963369252,6.2858004369899,1.5071131913758,0,0,0,0,0.0208333333333333,0.0277777777777778,0.0625,0.154166666666667,0.529166666666667,0.205555555555556,0.59,0.16,0.04
"PSIC102610Loc_DoubleSound",609,6,NA,0.333234329745882,0.110145558320519,0.388909180528465,1.43472523200595,1.19122062092141,0.22,0.15,0.1,0.09,0.14,0.09,0.11,0.05,0.02,0.03,0.101349084185149,0.0514113768020929,0.0723820056471909,0.0120114303615238,0.118207128248556,0.599251197059244,0.700055818877322,0.490612961106485,1.96341691994483,1.47462397319917,0.0243055555555556,0.111111111111111,0.03125,0.0451388888888889,0.177083333333333,0.114583333333333,0.184027777777778,0.211805555555556,0.100694444444444,0,1,0.52,0.22
"YKIC072811Loc_DoubleSound",500,24,NA,0.0167371391724836,0.0111891082906304,0.216198629226816,8.69508531815015,0.80009339166985,0.73,0.07,0.06,0.04,0.04,0.04,0,0.01,0,0.01,0.0646036001000913,0.0387512371314749,0.0294832782941876,0.0218730860087056,0.170599980977149,0.0265478393311431,0.0193063266892406,0.119697055864455,11.015160765537,1.90718604774123,0.688888888888889,0.111111111111111,0.0611111111111111,0.0833333333333333,0.025,0.0305555555555556,0,0,0,0,0.28,0.12,0.03
"YKIC140226Loc_DoubleSound",500,6,2,0.503671445439943,0.715410038908291,0.518049862041698,1.22490173986394,1.16740115947981,0.1,0.06,0.08,0.15,0.11,0.11,0.11,0.17,0.06,0.05,0.0400355957750179,0.118644754219132,0.290738257384071,0.044723155955956,0.0161574017559551,0.579617429862479,0.581061366578633,0.8950159112962,3.31077346605745,1.0515329821721,0,0,0.04625,0.0625,0.1725,0.2925,0.20125,0.105,0.06375,0.05625,1.75,1.02,0.52
"PSIC092910Loc_DoubleSound",903,-6,NA,0.19322229679815,0.11994868829732,0.808977096524052,2.53399488885929,0.18442373406069,0.24,0.27,0.13,0.19,0.08,0.03,0.03,0.01,0.02,0,0.0821625862762876,0.0389523702194883,0.0273677702033199,0.0974251046909805,0.0340005694347378,0.476667923982729,0.467433192953995,0.606782599470915,4.94356282183957,1.53320637685659,0,0,0,0.21078431372549,0.426470588235294,0.196078431372549,0.129901960784314,0.0367647058823529,0,0,0.8,0.25,0.07
"YKIC140121Loc_DoubleSound",500,24,1,0.191969004946561,0.0841718830818941,0.710099997572876,2.52573425124521,0.461838207620428,0.34,0.17,0.21,0.06,0.07,0.03,0.04,0.04,0.04,0,0.232097697638559,0.00572448098971496,0.0232198997703873,0.0502957480759008,0.0846077335019981,0.363755328564498,0.32105840342707,0.512988371454409,2.74654959679638,1.35881367953453,0,0.075,0.233928571428571,0.289285714285714,0.128571428571429,0.146428571428571,0.0642857142857143,0.0535714285714286,0.00892857142857143,0,0.81,0.32,0.14
"YKIC140501Loc_DoubleSound",500,-6,1,0.0818093770448971,0.030783968648798,0.732700699636155,3.51318046890374,0.200717534341722,0.53,0.18,0.14,0.03,0.05,0.02,0.01,0.03,0,0.01,0.0140262341198898,0.0152356284267754,0.0382597074177051,0.0438516878187813,0.350631514083632,0.603294069252014,0.0798449244954719,0.92545184693896,1.29846389191625,1.26058767813928,0.25,0.0833333333333333,0.0520833333333333,0.03125,0,0.0833333333333333,0.0833333333333333,0.05625,0.110416666666667,0.25,0.46,0.19,0.07
"YKIC102811Loc_DoubleSound",1100,6,NA,0.109656095294987,0.0575320531615898,0.417852459728833,3.28939958673851,0.79907123322642,0.47,0.16,0.15,0.07,0.09,0.03,0.02,0.01,0,0,0.0258817619097953,0.0324630066714734,0.00175710813286728,0.457073005867182,0.0141815993269459,0.719525065699075,0.733618178109322,0.0901794195678939,3.5059442420047,1.41441875704943,0.1171875,0.0885416666666667,0.0234375,0.0208333333333333,0,0,0.114583333333333,0.3828125,0.252604166666667,0,0.48,0.17,0.03
"PSIC092310Loc_DoubleSound",903,-24,NA,0.36904057457202,0.194463452668186,0.509912426483519,1.4630064155034,1.20489441283637,0.1,0.16,0.16,0.09,0.1,0.15,0.07,0.07,0.07,0.03,0.0276989161039554,0.0166589927398562,0.126009429365438,0.127239492885321,0.0253693483771165,0.608189359766894,0.73331328793701,0.498583415464296,2.42462005427197,2.09351817338071,0,0,0.0416666666666667,0.0654761904761905,0.196428571428571,0.172619047619048,0.208333333333333,0.273809523809524,0.0416666666666667,0,1.18,0.62,0.28
"YKIC090111_1Loc_DoubleSound",500,6,NA,0.148284111079677,0.0736246298788852,0.636169426760633,3.11706206297896,0.138359366664599,0.37,0.31,0.17,0.07,0.05,0.01,0.02,0,0,0,0.00884455337514243,0.0593346426273018,0.0676653589331866,0.0144021526326495,0.0562760374801312,0.185134952166148,0.174066016238385,0.889307869899206,6.09683965743629,1.64200960271679,0,0.607638888888889,0.142361111111111,0,0,0,0.0833333333333333,0,0.149305555555556,0.0173611111111111,0.43,0.09,0.02
"PSIC092810Loc_DoubleSound",1100,-24,NA,0.298167207500136,0.179973634990591,NA,1.85896661801893,NA,0.08,0.24,0.18,0.1,0.17,0.08,0.04,0.07,0.03,0.01,0.0423521624961994,0.0302586908584885,0.146489915398597,0.0332987193499394,0.0743771332759794,0.427573432515199,0.426401716846187,0.788243741322752,2.66613823360441,1.34908637659196,0,0.131944444444444,0.0902777777777778,0.1875,0.298611111111111,0.125,0,0.125,0.0416666666666667,0,0.98,0.5,0.18
"YKIC120111Loc_DoubleSound",1100,6,NA,0.28847134263363,0.137588347383675,0.575924080103559,1.79460746383065,0.951185976172328,0.2,0.18,0.14,0.12,0.08,0.09,0.11,0.05,0.02,0.01,0.00802426208462436,0.0555748220302533,0.026330585996975,0.182615563054933,0.333014522748723,0.471594468597354,0.504369861509984,0.158959513686577,2.01331282442877,1.36960397426546,0.0666666666666667,0.158333333333333,0.0875,0.108333333333333,0.145833333333333,0.241666666666667,0.0416666666666667,0.104166666666667,0.0458333333333333,0,0.92,0.49,0.21
